artist,album,name,explicit,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,genre,duration_s
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",The Art of Peer Pressure,1,10,0,4,0.28600000000000003,0.555,0.611,0.00106,0.273,-9.216000000000001,0.35600000000000004,94.939,0.41100000000000003,54,hiphop,324.533
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Money Trees,1,7,1,4,0.0703,0.716,0.531,0.0,0.22399999999999998,-7.355,0.122,71.994,0.344,65,hiphop,386.906
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Poetic Justice,1,6,0,4,0.157,0.779,0.5720000000000001,0.0,0.24600000000000002,-9.985,0.37799999999999995,135.95600000000002,0.647,61,hiphop,300.16
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",good kid,1,5,0,4,0.0623,0.451,0.831,0.0,0.185,-8.641,0.307,176.162,0.41,52,hiphop,214.12
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",m.A.A.d city,1,2,1,4,0.0538,0.48700000000000004,0.7290000000000001,4.07e-06,0.44,-6.815,0.271,91.04799999999999,0.217,66,hiphop,350.12
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Swimming Pools - Extended Version,1,1,1,4,0.12300000000000001,0.716,0.485,2.6899999999999997e-05,0.604,-7.745,0.40399999999999997,74.132,0.26,61,hiphop,313.786
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)","Sing About Me, I'm Dying Of Thirst",1,11,0,5,0.303,0.654,0.753,8.08e-05,0.13,-7.556,0.395,110.72200000000001,0.371,55,hiphop,723.573
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Real,1,1,1,4,0.0282,0.652,0.45799999999999996,0.0,0.664,-12.272,0.19399999999999998,100.046,0.174,50,hiphop,443.413
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Compton,1,1,0,4,0.0815,0.342,0.907,0.0,0.38299999999999995,-4.4319999999999995,0.415,170.38,0.225,50,hiphop,248.093
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",The Recipe - Bonus Track,1,11,0,4,0.000589,0.759,0.782,0.0,0.35,-6.975,0.0741,131.04,0.507,58,hiphop,352.853
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Black Boy Fly - Bonus Track,1,1,1,4,0.10800000000000001,0.593,0.731,1.52e-06,0.10300000000000001,-5.21,0.149,160.084,0.61,47,hiphop,279.14599999999996
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Now Or Never - Bonus Track,0,7,0,4,0.264,0.528,0.708,0.0,0.305,-5.879,0.207,97.8,0.7809999999999999,51,hiphop,256.21299999999997
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)","Bitch, Don’t Kill My Vibe - Remix",1,1,1,4,0.0513,0.636,0.7879999999999999,0.0,0.204,-5.766,0.252,133.722,0.14300000000000002,50,hiphop,278.586
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)","Bitch, Don’t Kill My Vibe - International Remix / Explicit Version",1,1,1,4,0.0109,0.67,0.8109999999999999,0.0,0.503,-6.61,0.0815,134.05700000000002,0.08199999999999999,45,hiphop,305.813
J. Cole,Revenge Of The Dreamers III: Director's Cut,Under The Sun,1,0,1,4,0.539,0.723,0.6559999999999999,0.0,0.298,-6.432,0.33799999999999997,138.836,0.155,60,hiphop,201.773
J. Cole,Revenge Of The Dreamers III: Director's Cut,Down Bad,1,0,1,4,0.038,0.81,0.584,0.0,0.0559,-5.364,0.33899999999999997,149.814,0.715,57,hiphop,169.146
J. Cole,Revenge Of The Dreamers III: Director's Cut,LamboTruck,1,10,0,4,0.0514,0.659,0.693,0.0,0.184,-5.268,0.298,135.001,0.261,53,hiphop,229.386
J. Cole,Revenge Of The Dreamers III: Director's Cut,"Swivel - From The Album ""Mirrorland""",1,2,1,5,0.247,0.594,0.545,0.0,0.239,-7.207999999999999,0.41600000000000004,109.839,0.40399999999999997,53,hiphop,194.613
J. Cole,Revenge Of The Dreamers III: Director's Cut,Oh Wow...Swerve,1,1,1,3,0.375,0.518,0.713,1.09e-06,0.27899999999999997,-6.143,0.508,165.265,0.307,53,hiphop,275.986
J. Cole,Revenge Of The Dreamers III: Director's Cut,Don't Hit Me Right Now,1,10,0,4,0.59,0.78,0.59,0.0,0.151,-6.587000000000001,0.12300000000000001,123.98,0.493,52,hiphop,174.36
J. Cole,Revenge Of The Dreamers III: Director's Cut,Wells Fargo - Interlude,1,1,1,4,0.0728,0.799,0.8270000000000001,5.3e-06,0.18100000000000002,-3.198,0.10300000000000001,148.02200000000002,0.24,54,hiphop,123.413
J. Cole,Revenge Of The Dreamers III: Director's Cut,Sleep Deprived,1,11,0,4,0.28600000000000003,0.56,0.7979999999999999,0.0,0.522,-4.282,0.355,88.17399999999999,0.716,52,hiphop,238.453
J. Cole,Revenge Of The Dreamers III: Director's Cut,Self Love,1,5,1,4,0.18899999999999997,0.759,0.7,0.0,0.11900000000000001,-6.1610000000000005,0.0593,106.05,0.19899999999999998,52,hiphop,223.013
J. Cole,Revenge Of The Dreamers III: Director's Cut,"Ladies, Ladies, Ladies",1,6,0,4,0.638,0.5579999999999999,0.6709999999999999,0.0,0.301,-5.955,0.292,80.436,0.485,51,hiphop,167.78599999999997
J. Cole,Revenge Of The Dreamers III: Director's Cut,Costa Rica,1,7,0,4,0.532,0.8320000000000001,0.648,0.0,0.0705,-6.382999999999999,0.37,120.93299999999999,0.624,53,hiphop,217.86599999999999
J. Cole,Revenge Of The Dreamers III: Director's Cut,1993,1,7,1,4,0.528,0.524,0.725,0.0,0.5920000000000001,-5.318,0.625,177.67700000000002,0.6890000000000001,53,hiphop,210.46599999999998
J. Cole,Revenge Of The Dreamers III: Director's Cut,Rembrandt...Run It Back,1,1,1,4,0.405,0.7120000000000001,0.555,0.0019100000000000002,0.0844,-6.059,0.41100000000000003,140.425,0.259,51,hiphop,151.826
J. Cole,Revenge Of The Dreamers III: Director's Cut,Sunset,1,1,1,4,0.153,0.9229999999999999,0.382,0.0,0.151,-7.117000000000001,0.19899999999999998,129.92700000000002,0.406,52,hiphop,178.373
